letter,French,German,Spanish,Portuguese,Esperanto,Italian,Turkish,Swedish,Polish,Dutch,Danish,Icelandic,Finnish,Czech,English
ü,0,0.995,0.012,0.026,0,0,1.854,0,0,0,0,0,0,0,0
ý,0,0,0,0,0,0,0,0,0,0,0,0.228,0,0.995,0
þ,0,0,0,0,0,0,0,0,0,0,0,1.455,0,0,0
ą,0,0,0,0,0,0,0,0,0.699,0,0,0,0,0,0
ć,0,0,0,0,0,0,0,0,0.743,0,0,0,0,0,0
ĉ,0,0,0,0,0.657,0,0,0,0,0,0,0,0,0,0
č,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0
ď,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0
ę,0,0,0,0,0,0,0,0,1.035,0,0,0,0,0,0
ě,0,0,0,0,0,0,0,0,0,0,0,0,0,1.222,0
ĝ,0,0,0,0,0.691,0,0,0,0,0,0,0,0,0,0
ğ,0,0,0,0,0,0,1.125,0,0,0,0,0,0,0,0
ĥ,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0
ı,0,0,0,0,0,0,5.114*,0,0,0,0,0,0,0,0
ĵ,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,0
ł,0,0,0,0,0,0,0,0,2.109,0,0,0,0,0,0
ń,0,0,0,0,0,0,0,0,0.362,0,0,0,0,0,0
ň,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0
œ,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ř,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0
ś,0,0,0,0,0,0,0,0,0.814,0,0,0,0,0,0
ŝ,0,0,0,0,0.385,0,0,0,0,0,0,0,0,0,0
ş,0,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0
š,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0
ť,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0
ŭ,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0
ů,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204,0
ź,0,0,0,0,0,0,0,0,0.078,0,0,0,0,0,0
ż,0,0,0,0,0,0,0,0,0.706,0,0,0,0,0,0
ž,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721,0
